Date,Llegada_de_turistas_total,Llegada_de_turistas_nacional,Llegada_de_turistas_extranjero,Turistas_noche_total_mensual,Turistas_noche_nacional_mensual,Turistas_noche_extranjeras_mensual,Estadia_total_mensual,Estadia_nacionales_mensual,Estadia_extranjeros_mensual,Densidad_total,Densidad_nacional,Densidad_extranjera
01/07/20,8603,8309,294,14422,13180,1242,1.7,1.6,4.2,2.1,2.1,2.4
01/08/20,10587,10221,366,19391,18009,1382,1.8,1.8,3.8,2.1,2.1,2.1
01/09/20,12532,11969,563,23361,21582,1779,1.9,1.8,3.2,2.1,2.1,2.1
01/10/20,13558,12852,706,28658,26280,2378,2.1,2,3.4,2.3,2.3,2.2
01/11/20,15725,14978,747,34831,30748,4083,2.2,2.1,5.5,2.2,2.2,2.4
01/12/20,22351,21494,857,46533,41533,5000,2.1,1.9,5.8,2.3,2.3,2.2
01/01/21,20212,18980,1232,40831,33815,7016,2,1.8,5.7,2.2,2.2,2.2
01/02/21,16767,15372,1395,35183,27446,7737,2.1,1.8,5.5,2.1,2.1,2
01/03/21,26480,25038,1442,54964,47403,7561,2.1,1.9,5.2,2.2,2.2,2.2
01/04/21,29530,27975,1555,54969,48287,6682,1.9,1.7,4.3,2.3,2.3,2.3
01/05/21,29253,27369,1884,59096,52468,6628,2,1.9,3.5,2.2,2.2,2.2
01/06/21,26727,24178,2549,57310,50017,7293,2.1,2.1,2.9,2.2,2.2,2.3
01/07/21,32209,29881,2328,72128,63767,8361,2.2,2.1,3.6,2.4,2.4,2.4
01/08/21,18535,16682,1853,39124,32474,6650,2.1,1.9,3.6,2.2,2.2,2.2
01/09/21,16106,14905,1201,39007,33635,5372,2.4,2.3,4.5,2.1,2.1,2
01/10/21,27553,25817,1736,57077,50444,6633,2.1,2,3.8,2.3,2.3,2
01/11/21,34866,31839,3027,81843,68889,12954,2.3,2.2,4.3,2.3,2.4,2.1
01/12/21,39153,36777,2376,106418,94753,11665,2.7,2.6,4.9,2.5,2.5,2.3
